[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,CNS_KL180529_003_abplane
FILEOPENTIME,3739955473.54673,07/05/2018,12:33 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,1,MOMENT_UNITS
INFO,CrNb3S6,SAMPLE_MATERIAL
INFO,003 abplane,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,disk,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.1,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (Am2),M. Std. Err. (Am2),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (Am2),AC Moment (Am2),AC M. Std Err. (Am2),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (Am2/T),AC Suscept. Std Err. (Am2/T),AC X' (Am2/T),AC X' Std Err. (Am2/T),AC X'' (Am2/T),AC X'' Std Err. (Am2/T),AC Drive (T),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3739959253.98263,40.5346202850342,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,40.0285263061523,40.9701271057129,499.652862548828,499.652862548828,,,8.07317543029785,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,41.040714263916,0,3154122112,40.5065477544611,,,0.00963668778822313,0.000480707247950982,0.0096380957715155,0.000480709904551483,0.982585370540619,0.995290815830231,31.6349296569824,0.188852086663246,30,4,200,0.00252679642289877,-3.80112218856812,0.498649805784225,1,,,,,,,,,,,,,,,,
,3739959275.19462,42.5619735717773,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,42.0149688720703,43.0186195373535,499.652862548828,499.652862548828,,,8.11556434631348,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,43.1089782714844,0,3154122144,42.5163438970392,,,0.00960541085796169,0.000479149016475816,0.00960685629424487,0.000479151746294648,0.982340693473816,0.995272040367127,31.6358680725098,0.188838243484497,30,4,200,0.0025421844329685,-3.79101872444153,0.494910776615143,1,,,,,,,,,,,,,,,,
,3739959295.98403,44.5536575317383,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,44.0212669372559,45.0375556945801,499.652862548828,499.652862548828,,,8.1659574508667,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,45.0860481262207,0,3154121920,44.5408356406472,,,0.00957202814397651,0.000477485824832952,0.00957349698742169,0.000477488123631937,0.982105672359466,0.995203375816345,31.6367244720459,0.188849478960037,30,4,200,0.0025958688929677,-3.78056287765503,0.490925073623657,1,,,,,,,,,,,,,,,,
,3739959316.77277,46.5533409118652,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,46.0144309997559,47.0395240783691,499.652862548828,499.652862548828,,,8.21060752868652,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,47.0922508239746,0,3154122176,46.5354225852273,,,0.00953766170635697,0.000475773691378481,0.00953918043231515,0.000475776460534699,0.981853902339935,0.995253145694733,31.6377696990967,0.18886025249958,30,4,200,0.00234670052304864,-3.76913642883301,0.486443430185318,1,,,,,,,,,,,,,,,,
,3739959337.24155,48.5479698181152,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,48.0119934082031,49.0162734985352,499.652862548828,499.652862548828,,,8.24812602996826,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,49.0839462280273,0,3154122272,48.5344592007724,,,0.00950285905227804,0.000474040016274509,0.00950441843535569,0.000474042626725309,0.981573581695557,0.99526309967041,31.6388740539551,0.188845321536064,30,4,200,0.0023493233602494,-3.75860643386841,0.481816828250885,1,,,,,,,,,,,,,,,,
,3739959357.97009,50.5564575195313,499.652862548828,,,6,,,,31.5713845451493,,,10,,,,,,,,,,,,,,,,,,,,,,50.0168418884277,50.9837341308594,499.652862548828,499.652862548828,,,8.29532432556152,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,51.0960731506348,0,3154122176,50.5434348366477,,,0.00946745715032815,0.000472277539115593,0.00946909619370058,0.000472280981020367,0.981174826622009,0.995224297046661,31.6403980255127,0.188841328024864,30,4,200,0.00227899081073701,-3.74766683578491,0.477274388074875,1,,,,,,,,,,,,,,,,
,3739959386.27592,53.2844429016113,499.652862548828,,,6,,,,31.5763866625619,,,10,,,,,,,,,,,,,,,,,,,,,,52.226634979248,54.297966003418,499.652862548828,499.652862548828,,,8.37905979156494,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,54.3422508239746,0,3154121952,53.2636337280273,,,0.00940570623133964,0.000469191460378126,0.00940721091343805,0.000469194585604441,0.981836318969727,0.995165765285492,31.6427459716797,0.188848793506622,30,4,200,0.00230964086949825,-4.63636589050293,4.72211313247681,1,,,,,,,,,,,,,,,,
,3739959402.81705,54.9065608978271,499.652862548828,,,6,,,,31.5763866625619,,,10,,,,,,,,,,,,,,,,,,,,,,54.3821792602539,55.3935432434082,499.652862548828,499.652862548828,,,8.41200542449951,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,55.4309425354004,0,3154122112,54.8896997625178,,,0.00938443612016915,0.000468131485673195,0.00938596856159547,0.000468134937802637,0.981699049472809,0.995187163352966,31.643310546875,0.188856393098831,30,4,200,0.00224524457007647,-3.72163534164429,0.466624975204468,1,,,,,,,,,,,,,,,,
,3739959419.62487,56.5626621246338,499.652862548828,,,6,,,,31.5763866625619,,,10,,,,,,,,,,,,,,,,,,,,,,56.0194969177246,57.0769157409668,499.652862548828,499.652862548828,,,8.45972061157227,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,57.105827331543,0,3154121920,56.5717711015181,,,0.00935159870205988,0.000466494641284995,0.00935314099635249,0.000466497661676791,0.981562912464142,0.995192348957062,31.6438541412354,0.18886262178421,30,4,200,0.00223387824371457,-3.71135926246643,0.462175041437149,1,,,,,,,,,,,,,,,,
,3739959440.51899,58.5367450714111,499.652862548828,,,6,,,,31.5763866625619,,,10,,,,,,,,,,,,,,,,,,,,,,58.0110321044922,59.0248146057129,499.652862548828,499.652862548828,,,8.5252161026001,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,59.0624580383301,0,3154121920,58.5394335660067,,,0.00930851279157453,0.00046434734589502,0.0093100872967881,0.000464350203566109,0.981332957744598,0.995249927043915,31.6448059082031,0.188847720623016,30,4,200,0.00219516595825553,-3.69448161125183,0.565532267093658,1,,,,,,,,,,,,,,,,
