[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3739963366.13896,07/05/2018,2:44 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,1,MOMENT_UNITS
INFO,CrNb3S6,SAMPLE_MATERIAL
INFO,003 abplane,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,disk,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.1,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (Am2),M. Std. Err. (Am2),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (Am2),AC Moment (Am2),AC M. Std Err. (Am2),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (Am2/T),AC Suscept. Std Err. (Am2/T),AC X' (Am2/T),AC X' Std Err. (Am2/T),AC X'' (Am2/T),AC X'' Std Err. (Am2/T),AC Drive (T),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3739966662.27129,40.5438957214355,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,40.0090637207031,41.0327949523926,499.652862548828,499.652862548828,,,9.29543495178223,-99999999,1,0,0,0,0.0008392333984375,30.3030319213867,2,1,1,41.078727722168,0,3154122048,40.5333515514027,,,0.01012333931574,0.000504998298293252,0.0101250982228974,0.000505000513603266,0.980915129184723,0.994939684867859,31.6410427093506,0.188869878649712,30,4,200,0.00270371604710817,-3.97549223899841,0.539805173873901,1,,,,,,,,,,,,,,,,
,3739966683.1282,42.56689453125,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,42.0083351135254,43.0617942810059,499.652862548828,499.652862548828,,,9.34504985809326,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,43.146427154541,0,3154122080,42.5542366721413,,,0.0100836294704674,0.000503019104704714,0.0100854082607461,0.000503020802933014,0.980735957622528,0.994985342025757,31.6417980194092,0.18888358771801,30,4,200,0.00258180079981685,-3.96246075630188,0.535574555397034,1,,,,,,,,,,,,,,,,
,3739966703.69433,44.5464000701904,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,44.0300712585449,45.0245170593262,499.652862548828,499.652862548828,,,9.38886642456055,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,45.0627288818359,0,3154122304,44.5275261618874,,,0.0100388133375653,0.000500786049392411,0.0100406346678072,0.000500788221629691,0.980464518070221,0.994750320911407,31.6426162719727,0.188858330249786,30,4,200,0.00283738109283149,-3.94721078872681,0.530657351016998,1,,,,,,,,,,,,,,,,
,3739966724.54638,46.5445289611816,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,46.0110130310059,47.0317573547363,499.652862548828,499.652862548828,,,9.44933319091797,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,47.0780448913574,0,3154122208,46.5279471657493,,,0.010000064415795,0.000498856531348007,0.0100019526844472,0.000498858738859839,0.980119943618774,0.994849383831024,31.6440696716309,0.188859477639198,30,4,200,0.00249738153070211,-3.93410062789917,0.525953531265259,1,,,,,,,,,,,,,,,,
,3739966744.85576,48.5169715881348,499.652862548828,,,6,,,,31.5712807938817,,,10,,,,,,,,,,,,,,,,,,,,,,48.0267219543457,48.9788932800293,499.652862548828,499.652862548828,,,9.50891494750977,-99999999,1,0,0,0,0.01495361328125,30.3030319213867,2,1,1,49.0072212219238,0,3154122144,48.4904972423207,,,0.00996138878725419,0.000496929193539102,0.00996332283476377,0.000496931538110169,0.979902803897858,0.99498575925827,31.645055770874,0.188868805766106,30,4,200,0.00253001227974892,-3.92263174057007,0.522106885910034,1,,,,,,,,,,,,,,,,
,3739966775.54922,51.4854946136475,499.652862548828,,,6,,,,31.5762845612122,,,10,,,,,,,,,,,,,,,,,,,,,,50.4192390441895,52.4956321716309,499.652862548828,499.652862548828,,,9.671067237854,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,52.5517501831055,0,3154121952,51.4485798790341,,,0.00988786168191571,0.000493255787959463,0.0098896838019957,0.000493258726863517,0.980479538440704,0.995048880577087,31.6478595733643,0.188860684633255,30,4,200,0.00234016729518771,-4.55981731414795,4.81803798675537,1,,,,,,,,,,,,,,,,
,3739966791.99511,53.0879878997803,499.652862548828,,,6,,,,31.5762845612122,,,10,,,,,,,,,,,,,,,,,,,,,,52.5597038269043,53.5670204162598,499.652862548828,499.652862548828,,,9.72711563110352,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,53.6162719726562,0,3154122112,53.0803680419922,,,0.00986591634087355,0.000492162693616827,0.00986776654033172,0.000492165501108837,0.980293393135071,0.995019853115082,31.6485576629639,0.188852146267891,30,4,200,0.00242614676244557,-3.89185237884521,0.510638535022736,1,,,,,,,,,,,,,,,,
,3739966807.13463,54.5404472351074,499.652862548828,,,6,,,,31.5762845612122,,,10,,,,,,,,,,,,,,,,,,,,,,54.0009994506836,55.0333824157715,499.652862548828,499.652862548828,,,9.78741073608398,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,55.0798950195313,0,3154122144,54.5404586791992,,,0.00983742197965107,0.000490742892950372,0.00983930377231101,0.000490745958980198,0.980123817920685,0.994990706443787,31.6491966247559,0.188862890005112,30,4,200,0.00238461093977094,-3.88243699073791,0.506848573684692,1,,,,,,,,,,,,,,,,
,3739966827.95363,56.5603141784668,499.652862548828,,,6,,,,31.5762845612122,,,10,,,,,,,,,,,,,,,,,,,,,,56.0287780761719,57.0384483337402,499.652862548828,499.652862548828,,,9.83603000640869,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,57.0918502807617,0,3154122016,56.5402266762473,,,0.00979568436669883,0.000488664027896955,0.00979761167215919,0.00048866683971983,0.979815185070038,0.994944751262665,31.6503582000732,0.188852429389954,30,4,200,0.00231903488747776,-3.86948323249817,0.501839101314545,1,,,,,,,,,,,,,,,,
,3739966848.81887,58.5475521087646,499.652862548828,,,6,,,,31.5762845612122,,,10,,,,,,,,,,,,,,,,,,,,,,58.0184860229492,59.0467758178711,499.652862548828,499.652862548828,,,9.87946796417236,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,59.0766181945801,0,3154122144,58.5474926341664,,,0.0097486488705559,0.000486320637042565,0.00975062893043433,0.000486323592459586,0.979505062103271,0.994890868663788,31.6515274047852,0.188871428370476,30,4,200,0.00228214915841818,-3.85449075698853,0.496031194925308,1,,,,,,,,,,,,,,,,
