Initial Temperature (K)	0.0200743
Excitation Current (A)	5e-08
Axis 1,2	x,y
Angle	0
Field (T)	        Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.005	                -4.1e-07	                    3.08968	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -12.597
-0.005	                -4e-07	                    3.09346	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -9.354
-0.005	                -3.9e-07	                    3.06145	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -9.855
-0.005	                -3.8e-07	                    3.1086	                        -0.005	                            0.0	                                0.0	                                    True	                                        -10.38
-0.005	                -3.7e-07	                    3.03758	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.383
-0.005	                -3.6e-07	                    3.04486	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -9.597
-0.005	                -3.5e-07	                    2.97676	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -9.747
-0.005	                -3.4e-07	                    3.09492	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -11.304
-0.005	                -3.3e-07	                    3.08474	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -11.331
-0.005	                -3.2e-07	                    3.03497	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -11.319
-0.005	                -3.1e-07	                    3.01546	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -12.3
-0.005	                -3e-07	                    3.10947	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.49
-0.005	                -2.9e-07	                    3.11879	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -8.136
-0.005	                -2.8e-07	                    3.04835	                        -0.005	                            0.0	                                0.0	                                    True	                                        -11.247
-0.005	                -2.7e-07	                    3.00557	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -9.855
-0.005	                -2.6e-07	                    3.04486	                        -0.005	                            0.0	                                0.0	                                    True	                                        -11.586
-0.005	                -2.5e-07	                    3.07687	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -9.843
-0.005	                -2.4e-07	                    3.10918	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -9.531
