Initial Temperature (K)	0.050729
Excitation Current (A)	1.25e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.02	                -9e-06	                    0.03606098	                        -0.02	                            -0.0	                                0.0	                                    True	                                        2.0304
-0.02	                -8e-06	                    0.04446528	                        -0.02	                            0.0	                                0.0	                                    True	                                        -42.9948
-0.02	                -7e-06	                    0.08550328	                        -0.02	                            0.0	                                -0.0	                                    True	                                        -0.0288
-0.02	                -6e-06	                    0.02598778	                        -0.02	                            0.0	                                -0.0	                                    True	                                        51.1608
-0.02	                -5e-06	                    0.05140927	                        -0.02	                            0.0	                                0.0	                                    True	                                        -25.0524
-0.02	                -4e-06	                    0.06482038	                        -0.02	                            -0.0	                                0.0	                                    True	                                        4.254
-0.02	                -3e-06	                    0.04059106	                        -0.02	                            0.0	                                0.0	                                    True	                                        -12.654
-0.02	                -2e-06	                    0.047982	                        -0.02	                            0.0	                                -0.0	                                    True	                                        4.9692
-0.02	                -1e-06	                    0.05188613	                        -0.02	                            0.0	                                -0.0	                                    True	                                        7.3584
-0.02	                -0.0	                    0.07295661	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -29.2512
-0.02	                1e-06	                    0.02205384	                        -0.02	                            0.0	                                0.0	                                    True	                                        31.1016
-0.02	                2e-06	                    0.0648801	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -7.6644
-0.02	                3e-06	                    0.0436904	                        -0.02	                            0.0	                                0.0	                                    True	                                        24.0864
-0.02	                4e-06	                    0.05224376	                        -0.02	                            0.0	                                0.0	                                    True	                                        -9.2508
-0.02	                5e-06	                    0.10630544	                        -0.02	                            0.0	                                0.0	                                    True	                                        -4.9344
-0.02	                6e-06	                    0.02345456	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        -1.5204
-0.02	                7e-06	                    0.0550452	                        -0.02	                            0.0	                                0.0	                                    True	                                        26.0712
-0.02	                8e-06	                    0.0524524	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        -31.4448
-0.02	                9e-06	                    0.01108651	                        -0.02	                            0.0	                                0.0	                                    True	                                        -56.7204
-0.02	                1e-05	                    0.02369298	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        49.3356
-0.02	                1.1e-05	                    0.00980501	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -19.074
-0.02	                1.2e-05	                    0.02574934	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        24.2256
-0.02	                1.3e-05	                    0.05325704	                        -0.02	                            0.0	                                0.0	                                    True	                                        12.8604
-0.02	                1.4e-05	                    0.00399351	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        20.334
-0.02	                1.5e-05	                    0.01290446	                        -0.02	                            0.0	                                0.0	                                    True	                                        -6.8256
-0.02	                1.6e-05	                    0.00464919	                        -0.02	                            -0.0	                                0.0	                                    True	                                        75.8412
-0.02	                1.7e-05	                    0.03400464	                        -0.02	                            0.0	                                -0.0	                                    True	                                        41.1528
-0.02	                1.8e-05	                    0.04342221	                        -0.02	                            0.0	                                0.0	                                    True	                                        7.242
-0.02	                1.9e-05	                    0.03650803	                        -0.02	                            0.0	                                0.0	                                    True	                                        27.8952
-0.02	                2e-05	                    0.06654896	                        -0.02	                            0.0	                                0.0	                                    True	                                        2.2716
-0.02	                2.1e-05	                    0.05117085	                        -0.02	                            0.0	                                -0.0	                                    True	                                        -23.466
-0.02	                2.2e-05	                    0.01481184	                        -0.02	                            0.0	                                0.0	                                    True	                                        59.916
-0.02	                2.3e-05	                    0.06046923	                        -0.02	                            0.0	                                0.0	                                    True	                                        28.7736
-0.02	                2.4e-05	                    0.02273928	                        -0.02	                            0.0	                                0.0	                                    True	                                        -1.062
-0.02	                2.5e-05	                    0.04330302	                        -0.02	                            0.0	                                0.0	                                    True	                                        17.3544
-0.02	                2.6e-05	                    0.05492603	                        -0.02	                            0.0	                                0.0	                                    True	                                        9.624
-0.02	                2.7e-05	                    0.03790877	                        -0.02	                            0.0	                                0.0	                                    True	                                        52.752
-0.02	                2.8e-05	                    0.02744808	                        -0.02	                            0.0	                                -0.0	                                    True	                                        55.9536
