Initial Temperature (K)	0.0500747
Resistor	1000000.0	Excitation Current (A)	1.351e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Lock-In Overload Pass	Compliance Pass
-0.005	0.000102	0.42288225	-0.005	-0.0	0.0	True	True
-0.005	0.000103	0.37670662	-0.005	0.0	0.0	True	True
-0.005	0.000104	0.44328183	-0.005	-0.0	-0.0	True	True
-0.005	0.000105	0.52088452	-0.005	0.0	-0.0	True	True
-0.005	0.000106	0.53549545	-0.005	0.0	-0.0	True	True
-0.005	0.000107	0.32419178	-0.005	-0.0	0.0	True	True
-0.005	0.000108	0.48146287	-0.005	0.0	-0.0	True	True
-0.005	0.000109	0.32846417	-0.005	-0.0	0.0	True	True
-0.005	0.00011	0.24038693	-0.005	0.0	0.0	True	True
-0.005	0.000111	0.54679747	-0.005	0.0	0.0	True	True
-0.005	0.000112	0.48601165	-0.005	0.0	0.0	True	True
-0.005	0.000113	0.35961521	-0.005	-0.0	0.0	True	True
-0.005	0.000114	0.33976656	-0.005	0.0	0.0	True	True
-0.005	0.000115	0.47291624	-0.005	0.0	0.0	True	True
-0.005	0.000116	0.53411572	-0.005	-0.0	-0.0	True	True
-0.005	0.000117	0.3022752	-0.005	0.0	0.0	True	True
-0.005	0.000118	0.21144105	-0.005	-0.0	0.0	True	True
-0.005	0.000119	0.39531503	-0.005	0.0	-0.0	True	True
-0.005	0.00012	0.44590069	-0.005	0.0	0.0	True	True
-0.005	0.000121	0.3594772	-0.005	-0.0	0.0	True	True
-0.005	0.000122	0.53204816	-0.005	-0.0	0.0	True	True
-0.005	0.000123	0.44631509	-0.005	-0.0	0.0	True	True
-0.005	0.000124	0.29359156	-0.005	0.0	-0.0	True	True
-0.005	0.000125	0.50599831	-0.005	-0.0	0.0	True	True
-0.005	0.000126	0.51509513	-0.005	0.0	0.0	True	True
-0.005	0.000127	0.48973348	-0.005	0.0	0.0	True	True
-0.005	0.000128	0.53425484	-0.005	-0.0	0.0	True	True
-0.005	0.000129	0.43583891	-0.005	-0.0	0.0	True	True
-0.005	0.00013	0.51344086	-0.005	-0.0	0.0	True	True
-0.0049	-0.00013	0.37877492	-0.0049	0.0	0.0	True	True
-0.0049	-0.000129	0.44341984	-0.0049	0.0	0.0	True	True
-0.0049	-0.000128	0.47250369	-0.0049	-0.0	0.0	True	True
-0.0049	-0.000127	0.45086239	-0.0049	-0.0	0.0	True	True
-0.0049	-0.000126	0.43887106	-0.0049	-0.0	-0.0	True	True
-0.0049	-0.000125	0.55382673	-0.0049	0.0	0.0	True	True
-0.0049	-0.000124	0.51068436	-0.0049	0.0	0.0	True	True
-0.0049	-0.000123	0.37491545	-0.0049	0.0	0.0	True	True
-0.0049	-0.000122	0.38649349	-0.0049	0.0	-0.0	True	True
-0.0049	-0.000121	0.31826475	-0.0049	0.0	0.0	True	True
-0.0049	-0.00012	0.33011881	-0.0049	0.0	-0.0	True	True
-0.0049	-0.000119	0.34417733	-0.0049	0.0	-0.0	True	True
-0.0049	-0.000118	0.33135872	-0.0049	0.0	0.0	True	True
-0.0049	-0.000117	0.369815	-0.0049	0.0	0.0	True	True
-0.0049	-0.000116	0.33246165	-0.0049	0.0	0.0	True	True
-0.0049	-0.000115	0.40840933	-0.0049	0.0	-0.0	True	True
-0.0049	-0.000114	0.38015317	-0.0049	0.0	0.0	True	True
-0.0049	-0.000113	0.49745131	-0.0049	0.0	0.0	True	True
-0.0049	-0.000112	0.54183466	-0.0049	0.0	0.0	True	True
-0.0049	-0.000111	0.45155244	-0.0049	-0.0	-0.0	True	True
-0.0049	-0.00011	0.49938197	-0.0049	0.0	-0.0	True	True
-0.0049	-0.000109	0.40013872	-0.0049	0.0	0.0	True	True
-0.0049	-0.000108	0.28738936	-0.0049	0.0	0.0	True	True
-0.0049	-0.000107	0.42067668	-0.0049	-0.0	0.0	True	True
-0.0049	-0.000106	0.30572175	-0.0049	-0.0	0.0	True	True
-0.0049	-0.000105	0.3425238	-0.0049	0.0	-0.0	True	True
-0.0049	-0.000104	0.39310983	-0.0049	0.0	0.0	True	True
-0.0049	-0.000103	0.37160691	-0.0049	0.0	0.0	True	True
-0.0049	-0.000102	0.26698904	-0.0049	-0.0	-0.0	True	True
-0.0049	-0.000101	0.52681081	-0.0049	0.0	0.0	True	True
-0.0049	-0.0001	0.37670736	-0.0049	0.0	0.0	True	True
-0.0049	-9.9e-05	0.523365	-0.0049	-0.0	0.0	True	True
-0.0049	-9.8e-05	0.4421796	-0.0049	-0.0	0.0	True	True
-0.0049	-9.7e-05	0.43832013	-0.0049	-0.0	0.0	True	True
-0.0049	-9.6e-05	0.43694188	-0.0049	-0.0	-0.0	True	True
-0.0049	-9.5e-05	0.32984316	-0.0049	-0.0	0.0	True	True
-0.0049	-9.4e-05	0.48215181	-0.0049	0.0	-0.0	True	True
-0.0049	-9.3e-05	0.44521249	-0.0049	0.0	0.0	True	True
-0.0049	-9.2e-05	0.3066856	-0.0049	0.0	0.0	True	True
-0.0049	-9.1e-05	0.3877341	-0.0049	0.0	0.0	True	True
-0.0049	-9e-05	0.2913861	-0.0049	0.0	0.0	True	True
-0.0049	-8.9e-05	0.38511524	-0.0049	0.0	0.0	True	True
-0.0049	-8.8e-05	0.52419195	-0.0049	0.0	0.0	True	True
-0.0049	-8.7e-05	0.55382747	-0.0049	-0.0	-0.0	True	True
-0.0049	-8.6e-05	0.54211068	-0.0049	0.0	-0.0	True	True
-0.0049	-8.5e-05	0.49924433	-0.0049	0.0	0.0	True	True
-0.0049	-8.4e-05	0.45210337	-0.0049	0.0	-0.0	True	True
-0.0049	-8.3e-05	0.34059388	-0.0049	0.0	0.0	True	True
-0.0049	-8.2e-05	0.59917578	-0.0049	0.0	0.0	True	True
-0.0049	-8.1e-05	0.51661176	-0.0049	0.0	0.0	True	True
-0.0049	-8e-05	0.32832653	-0.0049	-0.0	0.0	True	True
-0.0049	-7.9e-05	0.27939466	-0.0049	0.0	0.0	True	True
-0.0049	-7.8e-05	0.44976053	-0.0049	0.0	0.0	True	True
-0.0049	-7.7e-05	0.35410184	-0.0049	-0.0	0.0	True	True
-0.0049	-7.6e-05	0.32501836	-0.0049	0.0	0.0	True	True
-0.0049	-7.5e-05	0.39255779	-0.0049	-0.0	0.0	True	True
-0.0049	-7.4e-05	0.37339919	-0.0049	0.0	0.0	True	True
-0.0049	-7.3e-05	0.3534129	-0.0049	0.0	0.0	True	True
