Started December 28, 2022 23:37:30Resistor	201600.0	Excitation Current (A)	6.12e-08
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
2.14558824	14.6138	14.6456	6.07806
2.21766013	14.6138	14.6456	6.07806
2.27219935	14.6138	14.571	6.07806
2.27706863	14.6138	14.571	6.07806
2.29849346	14.6138	14.571	6.07806
2.2449281	14.6138	14.571	6.07806
2.35011438	14.6138	14.571	6.07806
2.2449281	14.6138	14.571	6.07806
2.28291176	14.6138	14.571	6.07844
2.3325817	14.6138	14.571	6.07844
2.24103268	14.6138	14.571	6.07844
2.35206209	14.6138	14.571	6.07844
2.28096405	14.6138	14.571	6.07844
2.21083987	14.6138	14.571	6.07844
2.24784967	14.6138	14.571	6.07844
2.23421569	14.6138	14.571	6.07844
2.29265033	14.6138	14.571	6.07844
2.27804248	14.6138	14.571	6.07844
2.2205817	14.6138	14.571	6.07844
2.26148693	14.6138	14.571	6.07844
2.2799902	14.6138	14.571	6.07844
2.30628758	14.6138	14.571	6.07844
2.25661438	14.6138	14.571	6.07844
2.34621895	14.6138	14.571	6.07844
2.22739869	14.6138	14.571	6.07844
2.28485948	14.604	14.571	6.07844
2.17285621	14.604	14.571	6.07844
2.28291176	14.604	14.571	6.07844
2.24590196	14.604	14.571	6.07844
2.22447712	14.604	14.571	6.07844
2.29167647	14.604	14.571	6.07844
2.16506536	14.604	14.4947	6.07844
2.35108824	14.604	14.4947	6.07844
2.31602614	14.604	14.4947	6.07844
2.29070261	14.604	14.4947	6.07844
2.18454575	14.604	14.4947	6.07844
2.28778105	14.604	14.4947	6.07844
2.2887549	14.604	14.4947	6.07844
2.24200654	14.604	14.4947	6.05147
2.25077124	14.604	14.4947	6.05147
2.29849346	14.604	14.4947	6.05147
2.29849346	14.604	14.4947	6.05147
2.29167647	14.604	14.4947	6.05147
2.30239216	14.604	14.4947	6.05147
2.2361634	14.604	14.4947	6.05147
2.22350327	14.604	14.4947	6.05147
2.24200654	14.604	14.4947	6.05147
2.27804248	14.604	14.4947	6.05147
2.25369281	14.604	14.4947	6.05147
2.16993464	14.604	14.4947	6.05147
2.27804248	14.604	14.4947	6.05147
2.25271895	14.604	14.4947	6.05147
2.20012745	14.604	14.4947	6.05147
2.22934641	14.604	14.4947	6.05147
2.29362418	14.604	14.4947	6.05147
2.19136275	14.3645	14.4947	6.05147
2.32479085	14.3645	14.4947	6.05147
2.26148693	14.3645	14.4947	6.05147
2.31115686	14.3645	14.4947	6.05147
2.2079183	14.3645	14.4947	6.05147
2.28680719	14.3645	14.4947	6.05147
2.21668627	14.3645	14.4155	6.05147
2.2887549	14.3645	14.4155	6.05147
2.30044444	14.3645	14.4155	6.05147
2.25564052	14.3645	14.4155	6.05147
2.25856536	14.3645	14.4155	6.05147
2.21083987	14.3645	14.4155	6.05147
2.19525817	14.3645	14.4155	6.01147
2.26927778	14.3645	14.4155	6.01147
2.30726144	14.3645	14.4155	6.01147
2.28778105	14.3645	14.4155	6.01147
2.32576471	14.3645	14.4155	6.01147
2.09786601	14.3645	14.4155	6.01147
2.30433987	14.3645	14.4155	6.01147
2.38809804	14.3645	14.4155	6.01147
2.27122549	14.3645	14.4155	6.01147
2.2955719	14.3645	14.4155	6.01147
2.34037255	14.3645	14.4155	6.01147
2.22837255	14.3645	14.4155	6.01147
2.30239216	14.3645	14.4155	6.01147
2.32479085	14.3645	14.4155	6.01147
2.26538235	14.3645	14.4155	6.01147
2.24784967	14.3645	14.4155	6.01147
2.22350327	14.3645	14.4155	6.01147
2.27804248	14.3645	14.4155	6.01147
2.32479085	14.5235	14.4155	6.01147
2.29654575	14.5235	14.4155	6.01147
2.31310458	14.5235	14.4155	6.01147
2.25077124	14.5235	14.4155	6.01147
2.28485948	14.5235	14.4155	6.01147
2.28193791	14.5235	14.3414	6.01147
2.22447712	14.5235	14.3414	6.01147
2.30336601	14.5235	14.3414	6.01147
2.31894771	14.5235	14.3414	6.01147
2.22545098	14.5235	14.3414	6.01147
2.2205817	14.5235	14.3414	6.01147
2.25369281	14.5235	14.3414	6.01147
2.25564052	14.5235	14.3414	6.0228
2.24103268	14.5235	14.3414	6.0228
2.17967647	14.5235	14.3414	6.0228
2.18065033	14.5235	14.3414	6.0228
2.20402288	14.5235	14.3414	6.0228
2.24979739	14.5235	14.3414	6.0228
2.21181373	14.5235	14.3414	6.0228
2.34232353	14.5235	14.3414	6.0228
2.32089542	14.5235	14.3414	6.0228
2.28583333	14.5235	14.3414	6.0228
2.31213072	14.5235	14.3414	6.0228
2.33063399	14.5235	14.3414	6.0228
2.33355556	14.5235	14.3414	6.0228
2.30531373	14.5235	14.3414	6.0228
2.2644085	14.5235	14.3414	6.0228
2.24687582	14.5235	14.3414	6.0228
2.18649346	14.5235	14.3414	6.0228
2.1553268	14.3975	14.3414	6.0228
2.21083987	14.3975	14.3414	6.0228
2.30920915	14.3975	14.3414	6.0228
2.29070261	14.3975	14.3414	6.0228
2.26733007	14.3975	14.3414	6.0228
2.27122549	14.3975	14.3414	6.0228
2.28778105	14.3975	14.2738	6.0228
2.24005882	14.3975	14.2738	6.0228
2.2517451	14.3975	14.2738	6.0228
2.31602614	14.3975	14.2738	6.0228
2.32089542	14.3975	14.2738	6.0228
2.25564052	14.3975	14.2738	6.0228
2.22642484	14.3975	14.2738	5.98901
2.25661438	14.3975	14.2738	5.98901
2.17383007	14.3975	14.2738	5.98901
2.25661438	14.3975	14.2738	5.98901
2.27414706	14.3975	14.2738	5.98901
2.30628758	14.3975	14.2738	5.98901
2.26051307	14.3975	14.2738	5.98901
2.31018301	14.3975	14.2738	5.98901
2.27901634	14.3975	14.2738	5.98901
2.22837255	14.3975	14.2738	5.98901
2.25758824	14.3975	14.2738	5.98901
2.22739869	14.3975	14.2738	5.98901
2.27414706	14.3975	14.2738	5.98901
2.30823529	14.3975	14.2738	5.98901
2.2517451	14.3975	14.2738	5.98901
2.27219935	14.3975	14.2738	5.98901
2.32479085	14.3975	14.2738	5.98901
2.19525817	14.3975	14.2738	5.98901
2.26051307	14.3434	14.2738	5.98901
2.34816667	14.3434	14.2738	5.98901
2.28778105	14.3434	14.2738	5.98901
2.29070261	14.3434	14.2738	5.98901
2.1923366	14.3434	14.2738	5.98901
2.33842484	14.3434	14.2738	5.98901
