Initial Temperature (K)	0.0521189
Resistor	201600.0	Excitation Current (A)	6.12e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Compliance Pass
-0.003	-3.596e-05	-0.04017586	-0.003	0.0	0.0	True
-0.003	-3.472e-05	-0.01071354	-0.003	-0.0	-0.0	True
-0.003	-3.348e-05	-0.03092314	-0.003	0.0	-0.0	True
-0.003	-3.224e-05	-0.02337498	-0.003	0.0	0.0	True
-0.003	-3.1e-05	-0.09009102	-0.003	-0.0	-0.0	True
-0.003	-2.976e-05	-0.03408849	-0.003	0.0	0.0	True
-0.003	-2.852e-05	-0.03287115	-0.003	-0.0	-0.0	True
-0.003	-2.728e-05	-0.00925261	-0.003	-0.0	-0.0	True
-0.003	-2.604e-05	-0.02848824	-0.003	0.0	0.0	True
-0.003	-2.48e-05	0.00170438	-0.003	-0.0	-0.0	True
-0.003	-2.356e-05	-0.03019265	-0.003	0.0	-0.0	True
-0.003	-2.232e-05	-0.00219146	-0.003	-0.0	0.0	True
-0.003	-2.108e-05	-0.02873172	-0.003	-0.0	-0.0	True
-0.003	-1.984e-05	0.01899216	-0.003	-0.0	0.0	True
-0.003	-1.86e-05	-0.00073044	-0.003	0.0	-0.0	True
-0.003	-1.736e-05	-0.02313146	-0.003	-0.0	-0.0	True
-0.003	-1.612e-05	-0.01022668	-0.003	0.0	-0.0	True
-0.003	-1.488e-05	0.02483588	-0.003	-0.0	0.0	True
-0.003	-1.364e-05	-0.00073041	-0.003	-0.0	-0.0	True
-0.003	-1.24e-05	-0.01485283	-0.003	-0.0	0.0	True
-0.003	-1.116e-05	0.00170447	-0.003	0.0	0.0	True
-0.003	-9.92e-06	-0.00267833	-0.003	0.0	0.0	True
-0.003	-8.68e-06	0.03019273	-0.003	0.0	0.0	True
-0.003	-7.44e-06	0.0	-0.003	-0.0	0.0	True
-0.003	-6.2e-06	0.04114969	-0.003	0.0	-0.0	True
-0.003	-4.96e-06	-0.01071358	-0.003	-0.0	0.0	True
-0.003	-3.72e-06	0.01533985	-0.003	0.0	0.0	True
-0.003	-2.48e-06	0.00657422	-0.003	0.0	-0.0	True
-0.003	-1.24e-06	0.00024348	-0.003	-0.0	0.0	True
-0.003	0.0	-0.01972266	-0.003	0.0	0.0	True
-0.003	1.24e-06	0.01120055	-0.003	0.0	0.0	True
-0.003	2.48e-06	-0.01071352	-0.003	-0.0	-0.0	True
-0.003	3.72e-06	-0.00267837	-0.003	0.0	0.0	True
-0.003	4.96e-06	-0.04285416	-0.003	-0.0	-0.0	True
-0.003	6.2e-06	0.00730465	-0.003	0.0	0.0	True
-0.003	7.44e-06	-0.03214065	-0.003	-0.0	-0.0	True
-0.003	8.68e-06	0.05040236	-0.003	-0.0	-0.0	True
-0.003	9.92e-06	-0.0518632	-0.003	-0.0	0.0	True
-0.003	1.116e-05	-0.00146087	-0.003	0.0	0.0	True
-0.003	1.24e-05	-0.05235028	-0.003	-0.0	0.0	True
-0.003	1.364e-05	-0.02337496	-0.003	-0.0	-0.0	True
-0.003	1.488e-05	-0.00754822	-0.003	-0.0	0.0	True
-0.003	1.612e-05	0.00048695	-0.003	-0.0	0.0	True
-0.003	1.736e-05	-0.01947916	-0.003	-0.0	0.0	True
-0.003	1.86e-05	-0.03238404	-0.003	-0.0	0.0	True
-0.003	1.984e-05	-0.01120054	-0.003	-0.0	-0.0	True
-0.003	2.108e-05	-0.00219137	-0.003	-0.0	0.0	True
-0.003	2.232e-05	-0.03506248	-0.003	0.0	0.0	True
-0.003	2.356e-05	-0.07548172	-0.003	-0.0	-0.0	True
-0.003	2.48e-05	-0.01655731	-0.003	0.0	-0.0	True
-0.003	2.604e-05	-0.04967182	-0.003	-0.0	0.0	True
-0.003	2.728e-05	0.01728776	-0.003	0.0	-0.0	True
-0.003	2.852e-05	-0.02118358	-0.003	0.0	-0.0	True
-0.003	2.976e-05	-0.02167053	-0.003	0.0	0.0	True
-0.003	3.1e-05	-0.02800128	-0.003	0.0	-0.0	True
-0.003	3.224e-05	-0.02897525	-0.003	0.0	-0.0	True
-0.003	3.348e-05	-0.05308068	-0.003	-0.0	0.0	True
-0.003	3.472e-05	-0.00584383	-0.003	0.0	-0.0	True
-0.003	3.596e-05	0.02970574	-0.003	0.0	0.0	True
-0.003	3.72e-05	-0.01509638	-0.003	-0.0	-0.0	True
-0.003	3.844e-05	-0.01996613	-0.003	0.0	0.0	True
-0.003	3.968e-05	-0.00925264	-0.003	0.0	0.0	True
-0.003	4.092e-05	-0.03116662	-0.003	-0.0	-0.0	True
-0.003	4.216e-05	-0.02337493	-0.003	0.0	0.0	True
-0.003	4.34e-05	-0.00243491	-0.003	0.0	0.0	True
-0.003	4.464e-05	0.01071354	-0.003	-0.0	0.0	True
-0.003	4.588e-05	-0.01704425	-0.003	-0.0	0.0	True
-0.003	4.712e-05	0.01144395	-0.003	0.0	-0.0	True
-0.003	4.836e-05	-0.05040228	-0.003	0.0	-0.0	True
-0.003	4.96e-05	0.02532291	-0.003	-0.0	-0.0	True
-0.003	5.084e-05	0.01704424	-0.003	-0.0	0.0	True
-0.003	5.208e-05	-0.02751429	-0.003	0.0	0.0	True
-0.003	5.332e-05	0.00048697	-0.003	-0.0	-0.0	True
-0.003	5.456e-05	-0.00316537	-0.003	0.0	-0.0	True
-0.003	5.58e-05	0.01923563	-0.003	0.0	0.0	True
-0.003	5.704e-05	0.00413934	-0.003	0.0	-0.0	True
-0.003	5.828e-05	-0.03433203	-0.003	-0.0	-0.0	True
-0.003	5.952e-05	-0.02483594	-0.003	0.0	-0.0	True
-0.003	6.076e-05	-0.00657419	-0.003	-0.0	-0.0	True
-0.003	6.2e-05	-0.01923565	-0.003	0.0	-0.0	True
-0.003	6.324e-05	0.00657422	-0.003	0.0	-0.0	True
-0.003	6.448e-05	-0.01022659	-0.003	-0.0	0.0	True
-0.003	6.572e-05	-0.05989839	-0.003	0.0	-0.0	True
-0.003	6.696e-05	-0.03530595	-0.003	0.0	-0.0	True
-0.003	6.82e-05	-0.03603643	-0.003	0.0	0.0	True
-0.003	6.944e-05	-0.011444	-0.003	0.0	0.0	True
-0.003	7.068e-05	-0.01874868	-0.003	-0.0	-0.0	True
-0.003	7.192e-05	0.00292192	-0.003	-0.0	-0.0	True
-0.003	7.316e-05	-0.03725384	-0.003	-0.0	0.0	True
-0.003	7.44e-05	-0.00097398	-0.003	0.0	-0.0	True
-0.003	7.564e-05	-0.00024345	-0.003	0.0	-0.0	True
-0.003	7.688e-05	-0.05502852	-0.003	0.0	0.0	True
-0.003	7.812e-05	-0.02678385	-0.003	0.0	-0.0	True
-0.003	7.937e-05	-0.05673301	-0.003	-0.0	0.0	True
-0.003	8.061e-05	0.00146092	-0.003	0.0	-0.0	True
-0.003	8.185e-05	-0.05405466	-0.003	0.0	-0.0	True
-0.003	8.309e-05	-0.04772397	-0.003	-0.0	0.0	True
-0.003	8.433e-05	0.02848836	-0.003	-0.0	-0.0	True
-0.003	8.557e-05	0.03067966	-0.003	0.0	-0.0	True
-0.003	8.681e-05	-0.03141011	-0.003	0.0	0.0	True
-0.003	8.805e-05	-0.00706123	-0.003	0.0	0.0	True
-0.003	8.929e-05	-0.01363536	-0.003	-0.0	0.0	True
-0.003	9.053e-05	-0.00560026	-0.003	-0.0	-0.0	True
-0.003	9.177e-05	0.00243487	-0.003	-0.0	0.0	True
-0.003	9.301e-05	0.011931	-0.003	-0.0	0.0	True
-0.003	9.425e-05	0.01850518	-0.003	0.0	0.0001	True
-0.003	9.549e-05	-0.03774088	-0.003	-0.0	0.0	True
-0.003	9.673e-05	-0.01485292	-0.003	0.0	-0.0	True
-0.003	9.797e-05	-0.05137618	-0.003	-0.0	0.0	True
-0.003	9.921e-05	0.00852218	-0.003	0.0	-0.0	True
-0.003	0.00010045	0.02921871	-0.003	0.0	-0.0	True
-0.003	0.00010169	0.00779169	-0.003	-0.0	0.0	True
-0.003	0.00010293	-0.06915107	-0.003	-0.0	-0.0	True
-0.003	0.00010417	-0.00730469	-0.003	-0.0	-0.0	True
-0.003	0.00010541	0.72121604	-0.003	-0.0	0.0	True
-0.003	0.00010665	0.66545752	-0.003	0.0	0.0	True
-0.003	0.00010789	0.69564851	-0.003	0.0	-0.0	True
-0.003	0.00010913	0.61627267	-0.003	-0.0	0.0	True
-0.003	0.00011037	0.65985692	-0.003	-0.0	0.0	True
-0.003	0.00011161	0.56927905	-0.003	-0.0	0.0	True
-0.003	0.00011285	0.6647263	-0.003	0.0	0.0	True
-0.003	0.00011409	0.64037775	-0.003	0.0	-0.0	True
-0.003	0.00011533	0.64646448	-0.003	0.0	-0.0	True
-0.003	0.00011657	0.61627104	-0.003	0.0	0.0	True
-0.003	0.00011781	0.6191943	-0.003	-0.0	0.0	True
-0.003	0.00011905	0.54566009	-0.003	-0.0	0.0	True
-0.003	0.00012029	0.61627267	-0.003	-0.0	-0.0	True
-0.003	0.00012153	0.62844613	-0.003	0.0	0.0	True
-0.003	0.00012277	0.65060346	-0.003	-0.0	0.0	True
-0.003	0.00012401	0.59703698	-0.003	0.0	-0.0	True
-0.003	0.00012525	0.54225152	-0.003	-0.0	0.0	True
-0.003	0.00012649	0.64110734	-0.003	-0.0	0.0	True
-0.003	0.00012773	0.56635742	-0.003	-0.0	0.0	True
-0.003	0.00012897	0.5110842	-0.003	-0.0	-0.0	True
-0.003	0.00013021	0.59192413	-0.003	-0.0	-0.0	True
-0.003	0.00013145	0.61895083	-0.003	0.0	-0.0	True
-0.003	0.00013269	0.57999169	-0.003	-0.0	-0.0	True
-0.003	0.00013393	0.51376318	-0.003	0.0	-0.0	True
-0.003	0.00013517	0.64889917	-0.003	-0.0	-0.0	True
-0.003	0.00013641	0.53859867	-0.003	-0.0	-0.0	True
-0.003	0.00013765	0.58072209	-0.003	-0.0	0.0	True
-0.003	0.00013889	0.59728045	-0.003	0.0	0.0	True
-0.003	0.00014013	0.55174763	-0.003	-0.0	0.0	True
-0.003	0.00014137	0.56538191	-0.003	-0.0	0.0	True
-0.003	0.00014261	0.57463618	-0.003	-0.0	-0.0	True
-0.003	0.00014385	0.57001027	-0.003	0.0	-0.0	True
-0.003	0.00014509	0.56489742	-0.003	-0.0	-0.0	True
-0.003	0.00014633	0.58583576	-0.003	-0.0	-0.0	True
-0.003	0.00014757	0.59728045	-0.003	-0.0	-0.0	True
-0.003	0.00014881	0.57682659	-0.003	0.0	-0.0	True
-0.003	0.00015005	0.49623013	-0.003	-0.0	0.0	True
-0.003	0.00015129	0.45435017	-0.003	0.0	-0.0	True
-0.003	0.00015253	0.56367926	-0.003	-0.0	-0.0	True
-0.003	0.00015377	0.54979988	-0.003	-0.0	0.0	True
-0.003	0.00015501	0.49038769	-0.003	0.0	0.0	True
-0.003	0.00015625	0.60702003	-0.003	0.0	0.0	True
-0.003	0.00015749	0.57220149	-0.003	0.0	0.0	True
-0.003	0.00015873	0.57098415	-0.003	-0.0	-0.0	True
-0.003	0.00015997	0.49038769	-0.003	-0.0	0.0001	True
-0.003	0.00016121	0.5894878	-0.003	0.0	0.0	True
-0.003	0.00016245	0.56854782	-0.003	-0.0	0.0	True
-0.003	0.00016369	0.56319232	-0.003	0.0	-0.0	True
-0.003	0.00016493	0.47723872	-0.003	-0.0	0.0	True
-0.003	0.00016617	0.50986686	-0.003	0.0	-0.0	True
