Field A is the magnetic field created by Axes 1 and 2, Field B is the field created by Axis 3Initial Temperature (K)	0.025007
Excitation Current (A)	2e-07
Axis 1,2	y,z
Axis 3	x
Angle in 1,2	14
Field A (T)	Field B (T)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.2	0.027	0.0908231	0.027	-0.1941	-0.0484
-0.2	0.02725	0.11935905	0.0273	-0.1941	-0.0484
-0.2	0.0275	0.0894447	0.0275	-0.1941	-0.0484
-0.2	0.02775	0.1022598	0.0278	-0.1941	-0.0484
-0.2	0.028	0.1046906	0.028	-0.1941	-0.0484
-0.2	0.02825	0.1211378	0.0283	-0.1941	-0.0484
-0.2	0.0285	0.10090935	0.0285	-0.1941	-0.0484
-0.2	0.02875	0.1205324	0.0287	-0.1941	-0.0484
-0.2	0.029	0.10758705	0.029	-0.1941	-0.0484
-0.2	0.02925	0.11836245	0.0293	-0.1941	-0.0484
-0.2	0.0295	0.10579895	0.0295	-0.1941	-0.0484
-0.2	0.02975	0.08726545	0.0298	-0.1941	-0.0484
-0.2	0.03	0.09195	0.03	-0.1941	-0.0484
-0.19	-0.03	0.10143095	0.03	-0.1924	-0.0469
-0.19	-0.02975	0.1202437	0.0297	-0.1844	-0.0459
-0.19	-0.0295	0.1078199	0.0295	-0.1844	-0.046
-0.19	-0.02925	0.09325375	0.0293	-0.1844	-0.046
-0.19	-0.029	0.1069816	0.029	-0.1844	-0.046
-0.19	-0.02875	0.09994075	0.0287	-0.1844	-0.046
-0.19	-0.0285	0.09881395	0.0285	-0.1844	-0.046
-0.19	-0.02825	0.08232005	0.0282	-0.1844	-0.046
-0.19	-0.028	0.1367096	0.028	-0.1844	-0.046
-0.19	-0.02775	0.12719145	0.0277	-0.1844	-0.046
-0.19	-0.0275	0.1076802	0.0275	-0.1844	-0.046
-0.19	-0.02725	0.09923295	0.0272	-0.1844	-0.046
-0.19	-0.027	0.107885	0.027	-0.1844	-0.046
-0.19	-0.02675	0.10971045	0.0268	-0.1844	-0.046
-0.19	-0.0265	0.0679962	0.0265	-0.1844	-0.046
-0.19	-0.02625	0.1138641	0.0263	-0.1844	-0.046
-0.19	-0.026	0.1119828	0.026	-0.1844	-0.046
-0.19	-0.02575	0.0911211	0.0257	-0.1844	-0.046
-0.19	-0.0255	0.10915165	0.0255	-0.1844	-0.046
-0.19	-0.02525	0.1448773	0.0252	-0.1843	-0.046
-0.19	-0.025	0.08975205	0.025	-0.1844	-0.046
-0.19	-0.02475	0.11857665	0.0248	-0.1844	-0.046
-0.19	-0.0245	0.1024089	0.0245	-0.1844	-0.046
-0.19	-0.02425	0.09894415	0.0242	-0.1844	-0.046
-0.19	-0.024	0.1366257	0.024	-0.1844	-0.046
-0.19	-0.02375	0.10680475	0.0238	-0.1844	-0.046
-0.19	-0.0235	0.14305185	0.0235	-0.1844	-0.046
-0.19	-0.02325	0.11670475	0.0232	-0.1844	-0.046
-0.19	-0.023	0.1103623	0.023	-0.1844	-0.046
-0.19	-0.02275	0.09823655	0.0228	-0.1844	-0.046
-0.19	-0.0225	0.1428751	0.0225	-0.1844	-0.0459
-0.19	-0.02225	0.12940795	0.0222	-0.1844	-0.046
-0.19	-0.022	0.11743115	0.022	-0.1844	-0.046
-0.19	-0.02175	0.0968675	0.0217	-0.1844	-0.046
-0.19	-0.0215	0.11478615	0.0215	-0.1844	-0.046
-0.19	-0.02125	0.1347351	0.0213	-0.1844	-0.046
-0.19	-0.021	0.1825309	0.021	-0.1844	-0.046
-0.19	-0.02075	0.17396275	0.0208	-0.1844	-0.046
-0.19	-0.0205	0.1540787	0.0205	-0.1844	-0.046
-0.19	-0.02025	0.16454695	0.0203	-0.1843	-0.046
-0.19	-0.02	0.1231774	0.02	-0.1844	-0.046
-0.19	-0.01975	0.18425395	0.0198	-0.1844	-0.046
-0.19	-0.0195	0.2002821	0.0195	-0.1844	-0.046
-0.19	-0.01925	0.0889883	0.0193	-0.1844	-0.046
-0.19	-0.019	0.01134358	0.019	-0.1844	-0.0459
-0.19	-0.01875	0.06416859	0.0187	-0.1844	-0.0459
-0.19	-0.0185	0.11038095	0.0185	-0.1844	-0.046
-0.19	-0.01825	0.10510035	0.0183	-0.1844	-0.046
-0.19	-0.018	0.02691537	0.018	-0.1844	-0.046
-0.19	-0.01775	0.04009365	0.0178	-0.1844	-0.046
-0.19	-0.0175	-0.00133174	0.0175	-0.1844	-0.046
-0.19	-0.01725	-0.00316652	0.0172	-0.1844	-0.0459
-0.19	-0.017	0.05586097	0.017	-0.1844	-0.046
-0.19	-0.01675	0.11183385	0.0168	-0.1843	-0.046
-0.19	-0.0165	0.1174869	0.0165	-0.1844	-0.046
-0.19	-0.01625	0.08643645	0.0162	-0.1844	-0.046
-0.19	-0.016	0.1370355	0.016	-0.1844	-0.046
-0.19	-0.01575	0.0812676	0.0157	-0.1844	-0.046
-0.19	-0.0155	0.00153667	0.0155	-0.1844	-0.046
-0.19	-0.01525	0.01452868	0.0153	-0.1844	-0.046
-0.19	-0.015	-0.01021665	0.015	-0.1844	-0.046
-0.19	-0.01475	0.01597232	0.0148	-0.1844	-0.046
-0.19	-0.0145	-0.00750648	0.0145	-0.1844	-0.046
-0.19	-0.01425	-0.00905251	0.0142	-0.1844	-0.046
-0.19	-0.014	0.01007698	0.014	-0.1844	-0.046
-0.19	-0.01375	-0.0054948	0.0137	-0.1844	-0.046
-0.19	-0.0135	0.01962306	0.0135	-0.1844	-0.046
-0.19	-0.01325	0.0010245	0.0132	-0.1844	-0.046
-0.19	-0.013	-0.00178819	0.013	-0.1844	-0.046
-0.19	-0.01275	0.0038557	0.0127	-0.1844	-0.046
-0.19	-0.0125	0.02495028	0.0125	-0.1844	-0.046
-0.19	-0.01225	-0.01785355	0.0122	-0.1843	-0.046
-0.19	-0.012	0.02115978	0.012	-0.1844	-0.046
-0.19	-0.01175	-0.00593255	0.0118	-0.1844	-0.046
-0.19	-0.0115	0.02371164	0.0115	-0.1844	-0.046
-0.19	-0.01125	-0.01653106	0.0112	-0.1844	-0.046
-0.19	-0.011	0.00395815	0.011	-0.1844	-0.046
-0.19	-0.01075	-0.02360919	0.0108	-0.1844	-0.046
-0.19	-0.0105	0.01846826	0.0105	-0.1844	-0.046
-0.19	-0.01025	-0.01101762	0.0102	-0.1844	-0.046
-0.19	-0.01	0.01010489	0.01	-0.1844	-0.046
-0.19	-0.00975	0.01576739	0.0097	-0.1844	-0.046
-0.19	-0.0095	-0.0136905	0.0095	-0.1844	-0.046
-0.19	-0.00925	0.01821676	0.0093	-0.1844	-0.046
-0.19	-0.009	-0.0334905	0.009	-0.1844	-0.0459
-0.19	-0.00875	-0.01127838	0.0088	-0.1844	-0.046
-0.19	-0.0085	0.00020491	0.0085	-0.1844	-0.046
-0.19	-0.00825	-0.01554386	0.0083	-0.1844	-0.046
-0.19	-0.008	0.00679866	0.008	-0.1844	-0.046
-0.19	-0.00775	0.00014901	0.0077	-0.1844	-0.046
-0.19	-0.0075	0.11082785	0.0075	-0.1844	-0.0459
-0.19	-0.00725	0.0864925	0.0073	-0.1844	-0.046
-0.19	-0.007	-0.00323171	0.007	-0.1844	-0.046
-0.19	-0.00675	0.01841238	0.0067	-0.1844	-0.046
-0.19	-0.0065	-0.0110735	0.0065	-0.1844	-0.046
-0.19	-0.00625	-0.00718054	0.0062	-0.1843	-0.0459
-0.19	-0.006	0.01858	0.006	-0.1844	-0.046
-0.19	-0.00575	0.0398888	0.0057	-0.1844	-0.046
-0.19	-0.0055	0.03045439	0.0055	-0.1844	-0.046
-0.19	-0.00525	-0.01811434	0.0053	-0.1844	-0.046
-0.19	-0.005	0.01760214	0.005	-0.1844	-0.046
-0.19	-0.00475	0.01510616	0.0048	-0.1844	-0.046
-0.19	-0.0045	0.01882217	0.0045	-0.1844	-0.046
-0.19	-0.00425	0.00773934	0.0042	-0.1844	-0.046
-0.19	-0.004	-0.00445174	0.004	-0.1844	-0.046
-0.19	-0.00375	0.04304593	0.0038	-0.1844	-0.046
-0.19	-0.0035	0.02474542	0.0035	-0.1844	-0.046
-0.19	-0.00325	0.11498173	0.0032	-0.1844	-0.046
-0.19	-0.003	0.2459637	0.003	-0.1844	-0.046
-0.19	-0.00275	0.1545538	0.0028	-0.1844	-0.046
-0.19	-0.0025	0.05957699	0.0025	-0.1844	-0.046
-0.19	-0.00225	0.09771485	0.0023	-0.1844	-0.046
-0.19	-0.002	0.07789617	0.002	-0.1844	-0.046
-0.19	-0.00175	0.04448954	0.0017	-0.1844	-0.046
-0.19	-0.0015	0.00135044	0.0015	-0.1844	-0.046
-0.19	-0.00125	0.1087138	0.0013	-0.1844	-0.046
-0.19	-0.001	0.205153	0.001	-0.1844	-0.046
-0.19	-0.00075	0.1406398	0.0008	-0.1844	-0.046
-0.19	-0.0005	0.1548798	0.0005	-0.1844	-0.0459
-0.19	-0.00025	0.15333385	0.0002	-0.1844	-0.046
-0.19	0.0	0.187588	0.0	-0.1844	-0.046
-0.19	0.00025	0.19285925	-0.0002	-0.1844	-0.0459
-0.19	0.0005	0.15746885	-0.0005	-0.1844	-0.0459
-0.19	0.00075	0.17530405	-0.0008	-0.1844	-0.046
-0.19	0.001	0.23201265	-0.001	-0.1844	-0.0459
-0.19	0.00125	0.24199635	-0.0013	-0.1844	-0.046
-0.19	0.0015	0.226769	-0.0015	-0.1844	-0.046
-0.19	0.00175	0.17633765	-0.0017	-0.1844	-0.046
-0.19	0.002	0.2129946	-0.002	-0.1843	-0.046
-0.19	0.00225	0.17156915	-0.0022	-0.1844	-0.046
-0.19	0.0025	0.13458615	-0.0025	-0.1844	-0.046
-0.19	0.00275	0.1130072	-0.0028	-0.1844	-0.046
-0.19	0.003	0.180445	-0.003	-0.1844	-0.046
-0.19	0.00325	0.17809785	-0.0032	-0.1844	-0.046
-0.19	0.0035	0.1364954	-0.0035	-0.1844	-0.046
-0.19	0.00375	0.1228421	-0.0037	-0.1844	-0.0459
-0.19	0.004	0.1645192	-0.004	-0.1844	-0.046
-0.19	0.00425	0.24041305	-0.0042	-0.1844	-0.046
-0.19	0.0045	0.23530925	-0.0045	-0.1844	-0.046
-0.19	0.00475	0.2090083	-0.0047	-0.1844	-0.046
-0.19	0.005	0.1069909	-0.005	-0.1844	-0.046
-0.19	0.00525	0.14597625	-0.0052	-0.1844	-0.046
-0.19	0.0055	0.22308085	-0.0055	-0.1843	-0.046
-0.19	0.00575	0.16808605	-0.0057	-0.1844	-0.046
-0.19	0.006	0.08218975	-0.006	-0.1844	-0.046
-0.19	0.00625	0.117934	-0.0063	-0.1844	-0.046
-0.19	0.0065	0.1206349	-0.0065	-0.1844	-0.046
-0.19	0.00675	0.11134025	-0.0068	-0.1844	-0.046
-0.19	0.007	0.16935255	-0.007	-0.1844	-0.046
-0.19	0.00725	0.09496745	-0.0072	-0.1844	-0.046
-0.19	0.0075	0.1177384	-0.0075	-0.1844	-0.046
