Initial Temperature (K)	0.02513
Excitation Current (A)	2e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)
-0.05	-5.8e-05	0.07943755
-0.05	-5.6e-05	0.0896985
-0.05	-5.4e-05	0.0827624
-0.05	-5.2e-05	0.09736338
-0.05	-5e-05	0.0984064
-0.05	-4.8e-05	0.0865437
-0.05	-4.6e-05	0.09278118
-0.05	-4.4e-05	0.10353338
-0.05	-4.2e-05	0.09384058
-0.05	-4e-05	0.1001876
-0.05	-3.8e-05	0.10805265
-0.05	-3.6e-05	0.09510715
-0.05	-3.4e-05	0.101126
-0.05	-3.2e-05	0.09955193
-0.05	-3e-05	0.09515843
-0.05	-2.8e-05	0.10562425
-0.05	-2.6e-05	0.10500725
-0.05	-2.4e-05	0.10648802
-0.05	-2.2e-05	0.09017803
-0.05	-2e-05	0.10833208
-0.05	-1.8e-05	0.0961922
-0.05	-1.6e-05	0.1033192
-0.05	-1.4e-05	0.09945882
-0.05	-1.2e-05	0.10013173
-0.05	-1e-05	0.10201768
-0.05	-8e-06	0.09018742
-0.05	-6e-06	0.09028988
-0.05	-4e-06	0.08581715
-0.05	-2e-06	0.0975077
-0.05	-0.0	0.08680208
-0.05	2e-06	0.08606168
-0.05	4e-06	0.10990602
-0.05	6e-06	0.102467
-0.05	8e-06	0.09627602
-0.05	1e-05	0.09199892
-0.05	1.2e-05	0.10104682
-0.05	1.4e-05	0.0921386
-0.05	1.6e-05	0.09098138
-0.05	1.8e-05	0.10531698
-0.05	2e-05	0.09650648
-0.05	2.2e-05	0.09695122
-0.05	2.4e-05	0.09419912
-0.05	2.6e-05	0.093205
-0.05	2.8e-05	0.09412692
-0.05	3e-05	0.10190825
-0.05	3.2e-05	0.10000602
-0.05	3.4e-05	0.09990122
-0.05	3.6e-05	0.1037709
-0.05	3.8e-05	0.08676012
-0.05	4e-05	0.0895029
-0.05	4.2e-05	0.09318398
-0.05	4.4e-05	0.10161715
-0.05	4.6e-05	0.10350078
-0.05	4.8e-05	0.09445295
-0.05	5e-05	0.09530512
-0.05	5.2e-05	0.09933543
-0.05	5.4e-05	0.08148188
-0.05	5.6e-05	0.09844598
