Initial Temperature (K)	0.0250387
Excitation Current (A)	1.082761038961039e-12
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)
-0.0396	9.6e-05	0.09848784
-0.0396	9.4e-05	0.10089781
-0.0396	9.2e-05	0.0984705
-0.0396	9e-05	0.09376722
-0.0396	8.8e-05	0.10828444
-0.0396	8.6e-05	0.10227728
-0.0396	8.4e-05	0.10306312
-0.0396	8.2e-05	0.11095028
-0.0396	8e-05	0.09900597
-0.0396	7.8e-05	0.09292903
-0.0396	7.6e-05	0.09181144
-0.0396	7.4e-05	0.0949605
-0.0396	7.2e-05	0.10696884
-0.0396	7e-05	0.10354038
-0.0396	6.8e-05	0.10827263
-0.0396	6.6e-05	0.10294666
-0.0396	6.4e-05	0.09187541
-0.0396	6.2e-05	0.09366822
-0.0396	6e-05	0.10497816
-0.0396	5.8e-05	0.10825525
-0.0396	5.6e-05	0.10847647
-0.0396	5.4e-05	0.09089762
-0.0396	5.2e-05	0.09624113
-0.0396	5e-05	0.09712006
-0.0396	4.8e-05	0.09120028
-0.0396	4.6e-05	0.11249856
-0.0396	4.4e-05	0.09529809
-0.0396	4.2e-05	0.09860425
-0.0396	4e-05	0.10099094
-0.0396	3.8e-05	0.09261481
-0.0396	3.6e-05	0.10138672
-0.0396	3.4e-05	0.11188741
-0.0396	3.2e-05	0.09488478
-0.0396	3e-05	0.10358706
-0.0396	2.8e-05	0.10688731
-0.0396	2.6e-05	0.09769634
-0.0396	2.4e-05	0.10361606
-0.0396	2.2e-05	0.1017535
-0.0396	2e-05	0.08850525
-0.0396	1.8e-05	0.09745772
-0.0396	1.6e-05	0.10222494
-0.0396	1.4e-05	0.10310381
-0.0396	1.2e-05	0.096276
-0.0396	1e-05	0.108197
-0.0396	8e-06	0.09666019
-0.0396	6e-06	0.09994316
-0.0396	4e-06	0.10776634
-0.0396	2e-06	0.09594431
-0.0396	-0.0	0.09906425
-0.0396	-2e-06	0.09507116
-0.0396	-4e-06	0.09563581
-0.0396	-6e-06	0.08613028
-0.0396	-8e-06	0.09694547
-0.0396	-1e-05	0.10909347
-0.0396	-1.2e-05	0.09651469
-0.0396	-1.4e-05	0.0883015
-0.0396	-1.6e-05	0.10633444
-0.0396	-1.8e-05	0.1065905
-0.0396	-2e-05	0.0887905
-0.0396	-2.2e-05	0.10878503
-0.0396	-2.4e-05	0.08489631
-0.0396	-2.6e-05	0.100403
-0.0396	-2.8e-05	0.10368581
-0.0396	-3e-05	0.09805722
-0.0396	-3.2e-05	0.10459984
-0.0396	-3.4e-05	0.09136906
-0.0396	-3.6e-05	0.10290019
-0.0396	-3.8e-05	0.10576394
-0.0396	-4e-05	0.09676494
-0.0396	-4.2e-05	0.09330159
-0.0396	-4.4e-05	0.09620619
-0.0396	-4.6e-05	0.11415756
-0.0396	-4.8e-05	0.09707934
-0.0396	-5e-05	0.10212597
-0.0396	-5.2e-05	0.09030388
-0.0396	-5.4e-05	0.10202697
-0.0396	-5.6e-05	0.10749859
-0.0396	-5.8e-05	0.10150897
-0.0396	-6e-05	0.09470447
-0.0396	-6.2e-05	0.10384897
-0.0396	-6.4e-05	0.09387197
-0.0396	-6.6e-05	0.10368588
-0.0396	-6.8e-05	0.10958812
-0.0396	-7e-05	0.09566484
-0.0396	-7.2e-05	0.09579869
-0.0396	-7.4e-05	0.09506531
-0.0396	-7.6e-05	0.10377913
-0.0396	-7.8e-05	0.09601403
-0.0396	-8e-05	0.10101425
-0.0396	-8.2e-05	0.10634022
-0.0396	-8.4e-05	0.09910494
-0.0396	-8.6e-05	0.09028641
-0.0396	-8.8e-05	0.10513528
-0.0396	-9e-05	0.09458219
-0.0396	-9.2e-05	0.10498403
-0.0396	-9.4e-05	0.10781869
-0.0396	-9.6e-05	0.09728303
-0.0396	-9.8e-05	0.09061238
-0.0396	-0.0001	0.09372075
-0.0396	-0.000102	0.09865091
-0.0396	-0.000104	0.10219
-0.0396	-0.000106	0.10155559
-0.0396	-0.000108	0.09655544
-0.0396	-0.00011	0.10114225
-0.0396	-0.000112	0.09925631
-0.0396	-0.000114	0.104303
-0.0396	-0.000116	0.11017028
-0.0396	-0.000118	0.09480328
-0.0396	-0.00012	0.10486178
-0.0396	-0.000122	0.10128778
-0.0396	-0.000124	0.08615362
-0.0396	-0.000126	0.10206191
-0.0396	-0.000128	0.10813306
-0.0396	-0.00013	0.08943072
-0.0396	-0.000132	0.11661388
-0.0396	-0.000134	0.09481497
-0.0396	-0.000136	0.10564759
-0.0396	-0.000138	0.09425612
-0.0396	-0.00014	0.09129916
-0.0396	-0.000142	0.10498391
-0.0396	-0.000144	0.09444844
-0.0396	-0.000146	0.11619488
-0.0396	-0.000148	0.09895362
-0.0396	-0.00015	0.10022259
-0.0396	-0.000152	0.0987615
-0.0396	-0.000154	0.09714912
-0.0396	-0.000156	0.102644
-0.0396	-0.000158	0.11490262
-0.0396	-0.00016	0.09926788
-0.0396	-0.000162	0.10013519
-0.0396	-0.000164	0.10812719
-0.0396	-0.000166	0.09812131
-0.0396	-0.000168	0.09890709
-0.0396	-0.00017	0.09585116
-0.0396	-0.000172	0.10296994
-0.0396	-0.000174	0.08873803
-0.0396	-0.000176	0.10579312
-0.0396	-0.000178	0.10007709
-0.0396	-0.00018	0.09854619
-0.0396	-0.000182	0.10414
-0.0396	-0.000184	0.09226547
-0.0396	-0.000186	0.11122394
-0.0396	-0.000188	0.10599097
-0.0396	-0.00019	0.10769056
-0.0396	-0.000192	0.09491394
-0.0396	-0.000194	0.10431472
-0.0396	-0.000196	0.09402334
-0.0396	-0.000198	0.09675916
-0.0396	-0.0002	0.09519334
-0.0392	-0.0002	0.10963478
-0.0392	-0.000198	0.09196281
-0.0392	-0.000196	0.10244622
-0.0392	-0.000194	0.09826675
-0.0392	-0.000192	0.10013528
-0.0392	-0.00019	0.10357538
-0.0392	-0.000188	0.10058344
-0.0392	-0.000186	0.10409344
-0.0392	-0.000184	0.11383741
-0.0392	-0.000182	0.09779525
-0.0392	-0.00018	0.09896528
-0.0392	-0.000178	0.09380797
-0.0392	-0.000176	0.11475713
-0.0392	-0.000174	0.08224203
-0.0392	-0.000172	0.10678262
-0.0392	-0.00017	0.09189294
-0.0392	-0.000168	0.09150869
-0.0392	-0.000166	0.08557153
-0.0392	-0.000164	0.09486738
-0.0392	-0.000162	0.08122909
-0.0392	-0.00016	0.10057181
-0.0392	-0.000158	0.10619469
-0.0392	-0.000156	0.10134012
-0.0392	-0.000154	0.10334253
-0.0392	-0.000152	0.10328431
-0.0392	-0.00015	0.09535044
-0.0392	-0.000148	0.10238206
-0.0392	-0.000146	0.100304
-0.0392	-0.000144	0.10108984
