Initial Temperature (K)	0.0249819
Excitation Current (A)	2e-07
Axis 1,2	y,z
Angle	14
Field (T)	Current (A)	Resistance (Ohms)
0.55	0.000128	0.08848197
0.55	0.00012	0.09289412
0.55	0.000112	0.10993747
0.55	0.000104	0.09664863
0.55	9.6e-05	0.09827841
0.55	8.8e-05	0.06570519
0.55	8e-05	0.08822578
0.55	7.2e-05	0.10971628
0.55	6.4e-05	0.04235794
0.55	5.6e-05	0.13246972
0.55	4.8e-05	0.10639266
0.55	4e-05	0.08743419
0.55	3.2e-05	0.13106691
0.55	2.4e-05	0.09449479
0.55	1.6e-05	0.13931494
0.55	8e-06	0.10550778
0.55	0.0	0.02019237
0.55	-8e-06	0.04891219
0.55	-1.6e-05	0.10675341
0.55	-2.4e-05	0.12408781
0.55	-3.2e-05	0.11671859
0.55	-4e-05	0.09584528
0.55	-4.8e-05	0.10524584
0.55	-5.6e-05	0.08560653
0.55	-6.4e-05	0.11466391
0.55	-7.2e-05	0.09861606
0.55	-8e-05	0.13987953
0.55	-8.8e-05	0.09512344
0.55	-9.6e-05	0.06633379
0.55	-0.000104	0.11161384
0.55	-0.000112	0.08966938
0.55	-0.00012	0.06947701
0.55	-0.000128	0.08561809
0.55	-0.000136	0.11671862
0.55	-0.000144	0.11334841
0.55	-0.000152	0.09862184
0.55	-0.00016	0.08175306
0.55	-0.000168	0.09149706
0.55	-0.000176	0.06279479
0.55	-0.000184	0.08723628
0.55	-0.000192	0.07915703
0.55	-0.0002	0.0935635
0.5	-0.0002	0.06245722
0.5	-0.000192	0.06802768
0.5	-0.000184	0.09221309
0.5	-0.000176	0.06344097
0.5	-0.000168	0.09203262
0.5	-0.00016	0.10936116
0.5	-0.000152	0.11249853
0.5	-0.000144	0.10221913
0.5	-0.000136	0.11085131
0.5	-0.000128	0.07820242
0.5	-0.00012	0.12543234
0.5	-0.000112	0.09005359
0.5	-0.000104	0.08221294
0.5	-9.6e-05	0.08163084
0.5	-8.8e-05	0.11244047
0.5	-8e-05	0.10923309
0.5	-7.2e-05	0.11793519
0.5	-6.4e-05	0.08274263
0.5	-5.6e-05	0.11065341
0.5	-4.8e-05	0.12590391
0.5	-4e-05	0.12368031
0.5	-3.2e-05	0.187971
0.5	-2.4e-05	0.11250441
0.5	-1.6e-05	0.0356466
0.5	-8e-06	-0.01750896
0.5	0.0	0.02030296
0.5	8e-06	-0.00209549
0.5	1.6e-05	0.03683983
0.5	2.4e-05	0.10535644
0.5	3.2e-05	0.18492675
0.5	4e-05	0.13176541
0.5	4.8e-05	0.11081053
0.5	5.6e-05	0.10847631
0.5	6.4e-05	0.09441916
0.5	7.2e-05	0.11381991
0.5	8e-05	0.11137519
0.5	8.8e-05	0.09453553
0.5	9.6e-05	0.07572277
0.5	0.000104	0.06352822
0.5	0.000112	0.09245178
0.5	0.00012	0.09123519
0.5	0.000128	0.103162
0.5	0.000136	0.07951791
0.5	0.000144	0.11042641
0.5	0.000152	0.11089781
0.5	0.00016	0.07387172
0.5	0.000168	0.10957653
0.5	0.000176	0.07678219
0.5	0.000184	0.08576359
0.5	0.000192	0.084291
0.5	0.0002	0.10791172
0.45	0.0002	0.07660172
0.45	0.000192	0.10320862
0.45	0.000184	0.08523397
0.45	0.000176	0.0874575
0.45	0.000168	0.08931434
0.45	0.00016	0.07306847
0.45	0.000152	0.09416881
0.45	0.000144	0.10082209
0.45	0.000136	0.09229456
0.45	0.000128	0.073214
0.45	0.00012	0.08090909
0.45	0.000112	0.10730059
0.45	0.000104	0.08136894
0.45	9.6e-05	0.09100238
0.45	8.8e-05	0.12749291
0.45	8e-05	0.10107828
0.45	7.2e-05	0.09175323
0.45	6.4e-05	0.11943694
0.45	5.6e-05	0.08549594
0.45	4.8e-05	0.08578697
0.45	4e-05	0.11761503
0.45	3.2e-05	0.11213188
0.45	2.4e-05	0.09848212
0.45	1.6e-05	0.12972231
0.45	8e-06	0.08214313
0.45	0.0	0.0101282
0.45	-8e-06	0.04868521
0.45	-1.6e-05	0.09258569
0.45	-2.4e-05	0.11650325
0.45	-3.2e-05	0.10616553
0.45	-4e-05	0.09082784
0.45	-4.8e-05	0.09506525
0.45	-5.6e-05	0.09127006
0.45	-6.4e-05	0.09234694
0.45	-7.2e-05	0.08153772
0.45	-8e-05	0.07101369
0.45	-8.8e-05	0.10579303
0.45	-9.6e-05	0.10413991
0.45	-0.000104	0.10025159
0.45	-0.000112	0.08027469
0.45	-0.00012	0.07810931
0.45	-0.000128	0.07587984
0.45	-0.000136	0.08366819
0.45	-0.000144	0.08730616
0.45	-0.000152	0.10479772
0.45	-0.00016	0.08157847
0.45	-0.000168	0.08402903
0.45	-0.000176	0.12473384
0.45	-0.000184	0.08638062
0.45	-0.000192	0.06333616
0.45	-0.0002	0.09514672
0.4	-0.0002	0.08936675
0.4	-0.000192	0.09607816
0.4	-0.000184	0.0662989
0.4	-0.000176	0.10434944
0.4	-0.000168	0.09951231
0.4	-0.00016	0.08698027
0.4	-0.000152	0.06721275
0.4	-0.000144	0.07618262
0.4	-0.000136	0.09131088
0.4	-0.000128	0.08041434
0.4	-0.00012	0.09817944
0.4	-0.000112	0.09337147
0.4	-0.000104	0.11093859
0.4	-9.6e-05	0.09692212
0.4	-8.8e-05	0.10865678
0.4	-8e-05	0.11596775
0.4	-7.2e-05	0.11064169
0.4	-6.4e-05	0.11350556
0.4	-5.6e-05	0.09453566
0.4	-4.8e-05	0.17176609
0.4	-4e-05	0.25006138
0.4	-3.2e-05	0.06408128
0.4	-2.4e-05	0.00566947
0.4	-1.6e-05	0.01111191
0.4	-8e-06	0.01030864
0.4	0.0	-0.0165718
0.4	8e-06	0.00752048
0.4	1.6e-05	0.01473242
0.4	2.4e-05	0.01991295
0.4	3.2e-05	0.02512257
0.4	4e-05	0.22866384
0.4	4.8e-05	0.17277306
0.4	5.6e-05	0.14974584
0.4	6.4e-05	0.11387234
0.4	7.2e-05	0.11347641
0.4	8e-05	0.108296
0.4	8.8e-05	0.10606081
0.4	9.6e-05	0.10345881
0.4	0.000104	0.09429119
0.4	0.000112	0.09851119
0.4	0.00012	0.08351097
0.4	0.000128	0.10051944
0.4	0.000136	0.04408093
0.4	0.000144	0.0975915
0.4	0.000152	0.10134009
0.4	0.00016	0.08096728
0.4	0.000168	0.0861128
0.4	0.000176	0.11646247
0.4	0.000184	0.08172399
0.4	0.000192	0.06136866
0.4	0.0002	0.08377287
0.35	0.0002	0.06156081
0.35	0.000192	0.09253906
0.35	0.000184	0.05161881
0.35	0.000176	0.10139256
0.35	0.000168	0.09800475
0.35	0.00016	0.09242266
0.35	0.000152	0.07516397
0.35	0.000144	0.10374406
0.35	0.000136	0.08838309
0.35	0.000128	0.09228884
0.35	0.00012	0.09587438
0.35	0.000112	0.07810347
0.35	0.000104	0.09042025
0.35	9.6e-05	0.08532709
0.35	8.8e-05	0.07024543
0.35	8e-05	0.09894191
0.35	7.2e-05	0.09862188
0.35	6.4e-05	0.10782447
0.35	5.6e-05	0.09815609
0.35	4.8e-05	0.08164831
0.35	4e-05	0.09395353
0.35	3.2e-05	0.09065897
0.35	2.4e-05	0.11575825
0.35	1.6e-05	0.11894216
0.35	8e-06	0.04865018
0.35	0.0	0.01065212
