Initial Temperature (K)	0.0250201
Excitation Current (A)	1.0895350649350648e-12
Axis 1,2	y,z
Angle	104
Field (T)	Current (A)	Resistance (Ohms)
-0.65	-6.5e-05	0.1012913
-0.65	-7e-05	0.08951925
-0.65	-7.5e-05	0.1008349
-0.65	-8e-05	0.1057151
-0.65	-8.5e-05	0.0886158
-0.65	-9e-05	0.0940735
-0.65	-9.5e-05	0.09272295
-0.65	-0.0001	0.07064125
-0.65	-0.000105	0.0845645
-0.65	-0.00011	0.0867811
-0.65	-0.000115	0.0860174
-0.65	-0.00012	0.1055288
-0.65	-0.000125	0.0933842
-0.65	-0.00013	0.09453905
-0.65	-0.000135	0.0964203
-0.65	-0.00014	0.09018045
-0.65	-0.000145	0.09562875
-0.65	-0.00015	0.083866
-0.65	-0.000155	0.08763795
-0.65	-0.00016	0.0898173
-0.65	-0.000165	0.0983576
-0.65	-0.00017	0.1036847
-0.65	-0.000175	0.07936765
-0.65	-0.00018	0.09028295
-0.65	-0.000185	0.08275775
-0.65	-0.00019	0.09100935
-0.65	-0.000195	0.09460435
-0.65	-0.0002	0.0965043
-0.6	-0.0002	0.10484895
-0.6	-0.000195	0.10759635
-0.6	-0.00019	0.095219
-0.6	-0.000185	0.1147768
-0.6	-0.00018	0.0860547
-0.6	-0.000175	0.0868836
-0.6	-0.00017	0.1001457
-0.6	-0.000165	0.0995961
-0.6	-0.00016	0.0944553
-0.6	-0.000155	0.09801295
-0.6	-0.00015	0.0853562
-0.6	-0.000145	0.10529595
-0.6	-0.00014	0.08512335
-0.6	-0.000135	0.107764
-0.6	-0.00013	0.10201775
-0.6	-0.000125	0.08042015
-0.6	-0.00012	0.0897892
-0.6	-0.000115	0.0993821
-0.6	-0.00011	0.0943436
-0.6	-0.000105	0.10310735
-0.6	-0.0001	0.10351705
-0.6	-9.5e-05	0.1112564
-0.6	-9e-05	0.097892
-0.6	-8.5e-05	0.1172914
-0.6	-8e-05	0.09821785
-0.6	-7.5e-05	0.125394
-0.6	-7e-05	0.0923504
-0.6	-6.5e-05	0.1102879
-0.6	-6e-05	0.10439255
-0.6	-5.5e-05	0.11047415
-0.6	-5e-05	0.13285395
-0.6	-4.5e-05	0.1504932
-0.6	-4e-05	0.21369345
-0.6	-3.5e-05	0.16981825
-0.6	-3e-05	0.10032255
-0.6	-2.5e-05	0.02949518
-0.6	-2e-05	0.02478261
-0.6	-1.5e-05	0.01690359
-0.6	-1e-05	0.01704332
-0.6	-5e-06	0.00105241
-0.6	0.0	0.00143425
-0.6	5e-06	0.00454487
-0.6	1e-05	0.01072889
-0.6	1.5e-05	-0.00928534
-0.6	2e-05	0.00800011
-0.6	2.5e-05	0.00709671
-0.6	3e-05	0.01939022
-0.6	3.5e-05	0.11693749
-0.6	4e-05	0.2221029
-0.6	4.5e-05	0.20820735
-0.6	5e-05	0.1445047
-0.6	5.5e-05	0.12648365
-0.6	6e-05	0.11368715
-0.6	6.5e-05	0.09010605
-0.6	7e-05	0.0918662
-0.6	7.5e-05	0.10808985
-0.6	8e-05	0.1129981
-0.6	8.5e-05	0.10578025
-0.6	9e-05	0.1056964
-0.6	9.5e-05	0.1181856
-0.6	0.0001	0.1013378
-0.6	0.000105	0.0870418
-0.6	0.00011	0.1048861
-0.6	0.000115	0.08512325
-0.6	0.00012	0.10555685
-0.6	0.000125	0.08496505
-0.6	0.00013	0.0873213
-0.6	0.000135	0.08611975
-0.6	0.00014	0.06577965
-0.6	0.000145	0.09927965
-0.6	0.00015	0.07367725
-0.6	0.000155	0.0806437
-0.6	0.00016	0.0895844
-0.6	0.000165	0.08326065
-0.6	0.00017	0.08356795
-0.6	0.000175	0.10026675
-0.6	0.00018	0.09227585
-0.6	0.000185	0.09441795
-0.6	0.00019	0.1057523
-0.6	0.000195	0.0912515
-0.6	0.0002	0.1071493
-0.55	0.0002	0.0954705
-0.55	0.000195	0.1059385
-0.55	0.00019	0.0752326
-0.55	0.000185	0.09561005
-0.55	0.00018	0.09288125
-0.55	0.000175	0.08994765
-0.55	0.00017	0.1077174
-0.55	0.000165	0.09376615
-0.55	0.00016	0.08985445
-0.55	0.000155	0.08516995
-0.55	0.00015	0.0781291
-0.55	0.000145	0.082646
-0.55	0.00014	0.09125155
-0.55	0.000135	0.08193825
-0.55	0.00013	0.0866787
-0.55	0.000125	0.08742375
-0.55	0.00012	0.098134
-0.55	0.000115	0.08896975
-0.55	0.00011	0.10633895
-0.55	0.000105	0.0923785
-0.55	0.0001	0.11943355
-0.55	9.5e-05	0.10068585
-0.55	9e-05	0.1065067
-0.55	8.5e-05	0.07556785
-0.55	8e-05	0.1108095
-0.55	7.5e-05	0.11035305
-0.55	7e-05	0.0952469
-0.55	6.5e-05	0.11107025
